category_id;mcc_code
1;4784
1;5013
1;5271
1;5511
1;5521
1;5531
1;5532
1;5533
1;5551
1;5561
1;5571
1;5592
1;5598
1;5599
1;7511
1;7523
1;7531
1;7534
1;7535
1;7538
1;7542
1;7549
2;5172
2;5541
2;5542
2;5552
2;5983
2;9752
2;3990
3;4722
4;3351
4;3352
4;3353
4;3354
4;3355
4;3356
4;3357
4;3358
4;3359
4;3360
4;3361
4;3362
4;3363
4;3364
4;3365
4;3366
4;3367
4;3368
4;3369
4;3370
4;3371
4;3372
4;3373
4;3374
4;3375
4;3376
4;3377
4;3378
4;3379
4;3380
4;3381
4;3382
4;3383
4;3384
4;3385
4;3386
4;3387
4;3388
4;3389
4;3390
4;3391
4;3392
4;3393
4;3394
4;3395
4;3396
4;3397
4;3398
4;3400
4;3401
4;3402
4;3403
4;3404
4;3405
4;3406
4;3407
4;3408
4;3409
4;3410
4;3412
4;3413
4;3414
4;3415
4;3416
4;3417
4;3418
4;3419
4;3420
4;3421
4;3422
4;3423
4;3425
4;3426
4;3427
4;3428
4;3429
4;3430
4;3431
4;3432
4;3433
4;3434
4;3435
4;3436
4;3437
4;3438
4;3439
4;3441
4;7512
4;7513
4;7519
4;3990
5;780
5;1520
5;1711
5;1731
5;1740
5;1750
5;1761
5;1771
5;2842
5;5021
5;5039
5;5046
5;5051
5;5072
5;5074
5;5085
5;5198
5;5200
5;5211
5;5231
5;5251
5;5261
5;5712
5;5713
5;5714
5;5718
5;5719
5;5950
5;5996
5;7217
5;7641
5;7692
5;7699
5;3990
6;742
6;5995
7;4119
7;5047
7;5122
7;5912
7;5975
7;5976
7;8011
7;8021
7;8031
7;8041
7;8042
7;8043
7;8044
7;8049
7;8050
7;8062
7;8071
7;8099
8;5811
8;5812
8;5813
8;3990
9;2741
9;5111
9;5192
9;5942
9;5943
9;5994
10;4900
11;5977
11;7230
11;7297
11;7298
12;8211
12;8220
12;8241
12;8244
12;8249
12;8299
12;8351
12;3990
13;5137
13;5139
13;5611
13;5621
13;5631
13;5641
13;5651
13;5661
13;5681
13;5691
13;5697
13;5698
13;5699
13;5931
13;5948
13;7251
13;7296
13;7631
17;3000
17;3001
17;3002
17;3003
17;3004
17;3005
17;3006
17;3007
17;3008
17;3009
17;3010
17;3011
17;3012
17;3013
17;3014
17;3015
17;3016
17;3017
17;3018
17;3019
17;3020
17;3021
17;3022
17;3023
17;3024
17;3025
17;3026
17;3027
17;3028
17;3029
17;3030
17;3031
17;3032
17;3033
17;3034
17;3035
17;3036
17;3037
17;3038
17;3039
17;3040
17;3041
17;3042
17;3043
17;3044
17;3045
17;3046
17;3047
17;3048
17;3049
17;3050
17;3051
17;3052
17;3053
17;3054
17;3055
17;3056
17;3057
17;3058
17;3059
17;3060
17;3061
17;3062
17;3063
17;3064
17;3065
17;3066
17;3067
17;3068
17;3069
17;3071
17;3072
17;3073
17;3075
17;3076
17;3077
17;3078
17;3079
17;3081
17;3082
17;3083
17;3084
17;3085
17;3086
17;3087
17;3088
17;3089
17;3090
17;3092
17;3093
17;3094
17;3095
17;3096
17;3097
17;3098
17;3099
17;3100
17;3101
17;3102
17;3103
17;3104
17;3105
17;3106
17;3107
17;3109
17;3110
17;3111
17;3112
17;3113
17;3114
17;3115
17;3116
17;3117
17;3118
17;3119
17;3120
17;3121
17;3122
17;3123
17;3124
17;3125
17;3126
17;3127
17;3128
17;3129
17;3130
17;3131
17;3132
17;3133
17;3134
17;3135
17;3136
17;3137
17;3138
17;3139
17;3140
17;3141
17;3142
17;3143
17;3144
17;3145
17;3146
17;3147
17;3148
17;3150
17;3151
17;3152
17;3153
17;3154
17;3155
17;3156
17;3157
17;3158
17;3159
17;3160
17;3161
17;3162
17;3163
17;3164
17;3165
17;3166
17;3167
17;3168
17;3169
