"bank_id";"mcc_code";"footnote"
"1";"3990";"Кэшбэк по МСС 3990 начисляем в зависимости от сервиса экосистемы Яндекс и только при оплате картами МИР."
"1";"3991";"Кэшбэк по МСС 3991 начисляем в зависимости от экосистемы сервисов Сбер и только при оплате картами МИР."
